"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","200.57.7.195","200.57.7.204","SIP/SDP","740","Request: INVITE sip:francisco@bestel.com:55060 | "
"2","0.007889","200.57.7.204","200.57.7.195","SIP","503","Status: 100 Trying | "
"3","0.047524","200.57.7.204","200.57.7.195","SIP","504","Status: 180 Ringing | "
"4","0.049780","200.57.7.206","200.57.7.197","TCP","54","1219  >  23 [ACK] Seq=1 Ack=1 Win=17465 Len=0"
"5","0.050802","200.57.7.197","200.57.7.206","TELNET","637","Telnet Data ..."
"6","0.057528","200.57.7.195","200.57.7.194","UDP","630","5002  >  5001 Len=588"
"7","0.059982","200.57.7.195","200.57.7.197","UDP","905","5010  >  5010 Len=863"
"8","0.063006","200.57.7.197","200.57.7.199","UDP","326","2428  >  2424 Len=284"
"9","0.063097","200.57.7.197","200.57.7.199","UDP","97","2428  >  2424 Len=24"
"10","0.063448","200.57.7.199","200.57.7.197","UDP","137","2424  >  2428 Len=95"
"11","0.068130","200.57.7.194","200.57.7.195","UDP","649","5001  >  5002 Len=607"
"12","0.068208","200.57.7.197","200.57.7.198","SMPP","97","Replace_sm"
"13","0.078405","200.57.7.198","200.57.7.197","TCP","60","2906  >  32891 [ACK] Seq=1 Ack=39 Win=32120 Len=0"
"14","0.250075","200.57.7.206","200.57.7.197","TCP","54","1219  >  23 [ACK] Seq=1 Ack=584 Win=16882 Len=0"
"15","0.764810","200.57.7.204","64.69.76.21","TCP","62","4554  >  13840 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"16","0.858925","64.69.76.21","200.57.7.204","TCP","60","13840  >  4554 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","0.892927","200.57.7.197","200.57.7.206","TELNET","132","Telnet Data ..."
"18","0.945583","200.57.7.197","200.57.7.206","TELNET","1502","Telnet Data ..."
"19","0.945708","200.57.7.206","200.57.7.197","TCP","54","1219  >  23 [ACK] Seq=1 Ack=2110 Win=17520 Len=0"
"20","0.945726","200.57.7.197","200.57.7.206","TELNET","110","Telnet Data ..."
"21","1.051214","200.57.7.206","200.57.7.197","TCP","54","1219  >  23 [ACK] Seq=1 Ack=2166 Win=17464 Len=0"
"22","1.052116","200.57.7.197","200.57.7.206","TELNET","581","Telnet Data ..."
