"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.105.110","192.168.105.105","SIP","596","Request: REGISTER sip:192.168.105.105  (1 binding) | "
"2","0.000639","192.168.105.105","192.168.105.110","SIP","362","Status: 100 Trying | "
"3","0.032186","192.168.105.105","192.168.105.110","SIP","456","Status: 200 OK  (1 binding) | "
"4","10.000441","192.168.105.110","192.168.105.105","SIP","597","Request: REGISTER sip:192.168.105.105  (1 binding) | "
"5","10.001733","192.168.105.105","192.168.105.110","SIP","363","Status: 100 Trying | "
"6","10.033344","192.168.105.105","192.168.105.110","SIP","457","Status: 200 OK  (1 binding) | "
"7","36.002756","192.168.105.110","192.168.105.105","SIP","570","Request: INVITE sip:2504@192.168.105.105 | "
"8","36.003190","192.168.105.105","192.168.105.110","SIP","355","Status: 100 Trying | "
"9","36.019858","192.168.105.105","192.168.105.110","SIP","386","Status: 603 Decline | "
"10","36.024706","192.168.105.110","192.168.105.105","SIP","437","Request: ACK sip:2504@192.168.105.105 | "
"11","40.002985","192.168.105.110","192.168.105.105","SIP","596","Request: REGISTER sip:192.168.105.105  (1 binding) | "
"12","40.003476","192.168.105.105","192.168.105.110","SIP","362","Status: 100 Trying | "
"13","40.034723","192.168.105.105","192.168.105.110","SIP","454","Status: 200 OK  (1 binding) | "
"14","52.003970","192.168.105.110","192.168.105.105","SIP","572","Request: INVITE sip:2504@192.168.105.105 | "
"15","52.004399","192.168.105.105","192.168.105.110","SIP","357","Status: 100 Trying | "
"16","52.033792","192.168.105.105","192.168.105.110","SIP","658","Request: INVITE sip:2504@192.168.105.110:5060 | "
"17","52.041339","192.168.105.110","192.168.105.105","SIP","513","Status: 100 Trying | "
"18","53.102765","192.168.105.110","192.168.105.105","SIP","625","Status: 180 Ringing | "
"19","53.110754","192.168.105.105","192.168.105.110","SIP","551","Status: 180 Ringing | "
"20","54.326674","192.168.105.110","192.168.105.105","SIP/SDP","919","Status: 200 OK | "
"21","54.345176","192.168.105.105","192.168.105.110","SIP/SDP","843","Status: 200 OK | "
"22","54.354963","192.168.105.110","192.168.105.105","SIP/SDP","790","Request: ACK sip:2504@192.168.105.105:5060;transport=udp | "
"23","54.377191","192.168.105.105","192.168.105.110","SIP/SDP","855","Request: ACK sip:2504@192.168.105.110:5060 | "
"24","70.003917","192.168.105.110","192.168.105.105","SIP","596","Request: REGISTER sip:192.168.105.105  (1 binding) | "
"25","70.004412","192.168.105.105","192.168.105.110","SIP","362","Status: 100 Trying | "
